attributed_touch_type,attributed_touch_time,install_time,event_name,attribute_id,media_source,channel,campaign,event_source,is_retargeting,platform,app_version,sdk_version,app_name
click,2022-05-01,2022-05-01,install,attribute-7b182e45-c7ff-48c6-8533-c773b0c543da,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-01,2022-05-01,install,attribute-444e64e1-b3d6-4735-b58c-c93a0ee35e7e,Facebook Ads,Facebook,SEOUL,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-01,2022-05-01,install,attribute-cb824149-0ac7-476f-bc5b-1933d9b9767d,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-01,2022-05-01,install,attribute-3ef0ce1a-c463-47ef-9c9a-930bf2f268e3,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-01,2022-05-01,install,attribute-de7cc8c3-05c6-418c-ae70-ab4516ec0767,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-02,2022-05-02,install,attribute-21e98ffa-0075-49c5-975c-c24f5d01115a,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-02,2022-05-02,install,attribute-03bf9027-3486-4b58-9186-0577f5693e1a,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-02,2022-05-02,install,attribute-13a42d1a-0922-4779-9376-4be630b32c6f,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-02,2022-05-02,install,attribute-9cb7b81e-f840-4bb1-a543-1ca3daaef656,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-03,2022-05-03,install,attribute-9586d5e1-b222-4591-99d9-a20dc72e83a2,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-03,2022-05-03,install,attribute-df58a3b9-9d8c-46c2-858a-adda7ff325a5,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-03,2022-05-03,install,attribute-c62b9f23-735a-4405-8e5d-ca091f3e97c5,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
click,2022-05-03,2022-05-03,install,attribute-ebd67e38-968b-44a8-be90-a4c057d334fe,Facebook Ads,Facebook,SEOUL,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
