"login_year_month","create_year_month","create_year","time_order","user_cnt","first_user_cnt","rate_of_change"
"2022-05","2021-07","2021",M0,163,163,1.0000
"2022-06","2021-07","2021",M1,150,163,0.9202
"2022-07","2021-07","2021",M2,155,163,0.9509
"2022-08","2021-07","2021",M3,153,163,0.9387
"2022-09","2021-07","2021",M4,140,163,0.8589
"2022-10","2021-07","2021",M5,137,163,0.8405
"2022-11","2021-07","2021",M6,142,163,0.8712
"2022-05","2021-08","2021",M0,317,317,1.0000
"2022-06","2021-08","2021",M1,345,317,1.0883
"2022-07","2021-08","2021",M2,347,317,1.0946
"2022-08","2021-08","2021",M3,327,317,1.0315
"2022-09","2021-08","2021",M4,285,317,0.8991
"2022-10","2021-08","2021",M5,261,317,0.8233
"2022-11","2021-08","2021",M6,269,317,0.8486
"2022-05","2021-09","2021",M0,236,236,1.0000
"2022-06","2021-09","2021",M1,245,236,1.0381
"2022-07","2021-09","2021",M2,237,236,1.0042
"2022-08","2021-09","2021",M3,216,236,0.9153
"2022-09","2021-09","2021",M4,193,236,0.8178
"2022-10","2021-09","2021",M5,187,236,0.7924
"2022-11","2021-09","2021",M6,190,236,0.8051
"2022-05","2021-10","2021",M0,298,298,1.0000
"2022-06","2021-10","2021",M1,312,298,1.0470
"2022-07","2021-10","2021",M2,299,298,1.0034
"2022-08","2021-10","2021",M3,283,298,0.9497
"2022-09","2021-10","2021",M4,247,298,0.8289
"2022-10","2021-10","2021",M5,221,298,0.7416
"2022-11","2021-10","2021",M6,228,298,0.7651
"2022-05","2021-11","2021",M0,269,269,1.0000
"2022-06","2021-11","2021",M1,281,269,1.0446
"2022-07","2021-11","2021",M2,273,269,1.0149
"2022-08","2021-11","2021",M3,240,269,0.8922
"2022-09","2021-11","2021",M4,206,269,0.7658
"2022-10","2021-11","2021",M5,204,269,0.7584
"2022-11","2021-11","2021",M6,196,269,0.7286
"2022-05","2021-12","2021",M0,423,423,1.0000
"2022-06","2021-12","2021",M1,399,423,0.9433
"2022-07","2021-12","2021",M2,381,423,0.9007
"2022-08","2021-12","2021",M3,350,423,0.8274
"2022-09","2021-12","2021",M4,300,423,0.7092
"2022-10","2021-12","2021",M5,273,423,0.6454
"2022-11","2021-12","2021",M6,285,423,0.6738
"2022-05","2022-01","2022",M0,443,443,1.0000
"2022-06","2022-01","2022",M1,436,443,0.9842
"2022-07","2022-01","2022",M2,413,443,0.9323
"2022-08","2022-01","2022",M3,363,443,0.8194
"2022-09","2022-01","2022",M4,303,443,0.6840
"2022-10","2022-01","2022",M5,276,443,0.6230
"2022-11","2022-01","2022",M6,284,443,0.6411
"2022-05","2022-02","2022",M0,362,362,1.0000
"2022-06","2022-02","2022",M1,334,362,0.9227
"2022-07","2022-02","2022",M2,294,362,0.8122
"2022-08","2022-02","2022",M3,266,362,0.7348
"2022-09","2022-02","2022",M4,226,362,0.6243
"2022-10","2022-02","2022",M5,217,362,0.5994
"2022-11","2022-02","2022",M6,210,362,0.5801
"2022-05","2022-03","2022",M0,363,363,1.0000
"2022-06","2022-03","2022",M1,328,363,0.9036
"2022-07","2022-03","2022",M2,290,363,0.7989
"2022-08","2022-03","2022",M3,266,363,0.7328
"2022-09","2022-03","2022",M4,220,363,0.6061
"2022-10","2022-03","2022",M5,194,363,0.5344
"2022-11","2022-03","2022",M6,197,363,0.5427
"2022-05","2022-04","2022",M0,316,316,1.0000
"2022-06","2022-04","2022",M1,243,316,0.7690
"2022-07","2022-04","2022",M2,195,316,0.6171
"2022-08","2022-04","2022",M3,165,316,0.5222
"2022-09","2022-04","2022",M4,136,316,0.4304
"2022-10","2022-04","2022",M5,121,316,0.3829
"2022-11","2022-04","2022",M6,119,316,0.3766
"2022-05","2022-05","2022",M0,504,504,1.0000
"2022-06","2022-05","2022",M1,258,504,0.5119
"2022-07","2022-05","2022",M2,168,504,0.3333
"2022-08","2022-05","2022",M3,146,504,0.2897
"2022-09","2022-05","2022",M4,117,504,0.2321
"2022-10","2022-05","2022",M5,110,504,0.2183
"2022-11","2022-05","2022",M6,105,504,0.2083
"2022-06","2022-06","2022",M0,1073,1073,1.0000
"2022-07","2022-06","2022",M1,517,1073,0.4818
"2022-08","2022-06","2022",M2,378,1073,0.3523
"2022-09","2022-06","2022",M3,265,1073,0.2470
"2022-10","2022-06","2022",M4,253,1073,0.2358
"2022-11","2022-06","2022",M5,222,1073,0.2069
"2022-07","2022-07","2022",M0,1078,1078,1.0000
"2022-08","2022-07","2022",M1,519,1078,0.4814
"2022-09","2022-07","2022",M2,367,1078,0.3404
"2022-10","2022-07","2022",M3,296,1078,0.2746
"2022-11","2022-07","2022",M4,282,1078,0.2616
"2022-08","2022-08","2022",M0,703,703,1.0000
"2022-09","2022-08","2022",M1,349,703,0.4964
"2022-10","2022-08","2022",M2,252,703,0.3585
"2022-11","2022-08","2022",M3,209,703,0.2973
"2022-09","2022-09","2022",M0,617,617,1.0000
"2022-10","2022-09","2022",M1,282,617,0.4571
"2022-11","2022-09","2022",M2,207,617,0.3355
"2022-10","2022-10","2022",M0,811,811,1.0000
"2022-11","2022-10","2022",M1,300,811,0.3699
"2022-11","2022-11","2022",M0,2907,2907,1.0000
